127.0.0.1 - - [11/Sep/2022:11:47:29 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Sep/2022:11:47:30 +0530] "GET /SandwichStore/index.jsp HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [11/Sep/2022:11:47:30 +0530] "GET /SandwichStore/images/sand1.png HTTP/1.1" 200 125881
0:0:0:0:0:0:0:1 - - [11/Sep/2022:11:47:30 +0530] "GET /SandwichStore/css/index.css HTTP/1.1" 200 1645
0:0:0:0:0:0:0:1 - - [11/Sep/2022:11:47:30 +0530] "GET /SandwichStore/images/sand2.png HTTP/1.1" 200 307612
0:0:0:0:0:0:0:1 - - [11/Sep/2022:11:47:30 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Sep/2022:11:47:36 +0530] "GET /SandwichStore/login.jsp HTTP/1.1" 200 2092
0:0:0:0:0:0:0:1 - - [11/Sep/2022:11:47:36 +0530] "GET /SandwichStore/css/login.css HTTP/1.1" 200 1790
0:0:0:0:0:0:0:1 - - [11/Sep/2022:11:47:36 +0530] "GET /SandwichStore/images/google.jpeg HTTP/1.1" 200 5833
0:0:0:0:0:0:0:1 - - [11/Sep/2022:11:47:36 +0530] "GET /SandwichStore/images/veg.jpg HTTP/1.1" 200 28768
0:0:0:0:0:0:0:1 - - [11/Sep/2022:11:47:42 +0530] "POST /SandwichStore/LoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Sep/2022:11:47:42 +0530] "GET /SandwichStore/login.jsp?msg=notexist HTTP/1.1" 200 2165
0:0:0:0:0:0:0:1 - - [11/Sep/2022:11:47:48 +0530] "POST /SandwichStore/LoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Sep/2022:11:47:48 +0530] "GET /SandwichStore/admin/adminHome.jsp HTTP/1.1" 200 838
0:0:0:0:0:0:0:1 - - [11/Sep/2022:11:47:48 +0530] "GET /SandwichStore/css/adminheader.css HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [11/Sep/2022:11:47:51 +0530] "GET /SandwichStore/admin/addNewFood.jsp HTTP/1.1" 200 840
0:0:0:0:0:0:0:1 - - [11/Sep/2022:11:52:06 +0530] "GET /SandwichStore/admin/addNewFood.jsp HTTP/1.1" 200 1281
0:0:0:0:0:0:0:1 - - [11/Sep/2022:11:53:51 +0530] "GET /SandwichStore/admin/addNewFood.jsp HTTP/1.1" 200 1344
0:0:0:0:0:0:0:1 - - [11/Sep/2022:11:53:51 +0530] "GET /SandwichStore/css/addNewProduct-style.css HTTP/1.1" 200 2917
0:0:0:0:0:0:0:1 - - [11/Sep/2022:12:03:21 +0530] "GET /SandwichStore/admin/addNewFood.jsp HTTP/1.1" 200 1343
0:0:0:0:0:0:0:1 - - [11/Sep/2022:12:03:21 +0530] "GET /SandwichStore/css/addNewProduct-style.css HTTP/1.1" 200 2914
0:0:0:0:0:0:0:1 - - [11/Sep/2022:14:10:24 +0530] "GET /SandwichStore/admin/addNewFood.jsp HTTP/1.1" 404 749
